"Geschlecht","Groesse","Alter","Gewicht","Studienrichtung","Abschluss","Job","Jobdauer","Vorbildung","Geburtsjahr","Plz","Ort","Bundesland"
"w",150,24,50,"Medien- und Kommunikationswissenschaften","Bachelor","nein",0,"AHS",1998,9523,"Villach-Landskron","K"
"w",164,22,64,"Angewandte Kulturwissenschaft","PhD","nein",0,"HBLA",2000,9472,"Ettendorf","K"
"m",176,24,64,"Robotics and Artificial Intelligence","Bachelor","ja",21,"HAK",1998,9302,"St. Veit an der Glan","K"
"m",165,20,52,"Technische Mathematik","Master","nein",0,"HAK",2002,9171,"Waidisch","K"
"w",167,21,81,"Betriebswirtschaft","Bachelor","nein",0,"HAK",2001,9062,"Moosburg","K"
"m",166,21,53,"Philosophie","Bachelor","nein",0,"Ausl",2001,9411,"St. Michael","K"
"m",179,20,60,"Informationstechnik","Bachelor","ja",20,"HAK",2002,9555,"Glanegg","K"
"m",176,22,71,"Betriebswirtschaft","Master","ja",9,"Ausl",2000,9571,"Sirnitz","K"
"m",180,19,111,"Betriebswirtschaft","Master","nein",0,"HAK",2003,9851,"Lieserbrücke","K"
"w",154,38,53,"Wirtschaft und Recht","PhD","nein",0,"HTL",1984,9623,"St. Stefan an der Gail","K"
"w",163,20,67,"Erziehungs- und Bildungswissenschaft","Master","ja",5,"HBLA",2002,9841,"Winklern","K"
"w",158,21,55,"Geographie","Bachelor","ja",19,"Sonst",2001,9082,"Maria Wörth","K"
"m",162,21,57,"Betriebswirtschaft","PhD","ja",18,"Ausl",2001,9372,"Eberstein","K"
"w",163,19,66,"International Business and Economics","Master","nein",0,"Ausl",2003,9031,"Klagenfurt","K"
"m",188,20,96,"Germanistik","Bachelor","ja",29,"AHS",2002,9462,"Bad St. Leonhard im Lavanttal","K"
"w",157,23,54,"Geographie","Master","nein",0,"HAK",1999,9602,"Thörl-Maglern","K"
"m",172,19,77,"Angewandte Kulturwissenschaft","Master","ja",11,"HAK",2003,9831,"Flattach","K"
"m",180,20,87,"International Business and Economics","PhD","ja",10,"HAK",2002,9563,"Gnesau","K"
"w",162,19,60,"Robotics and Artificial Intelligence","Master","ja",25,"HTL",2003,9125,"Kühnsdorf","K"
"m",190,21,83,"Angewandte Kulturwissenschaft","Master","ja",24,"Ausl",2001,9631,"Jenig","K"
"m",180,21,74,"Slawistik","Bachelor","ja",20,"Sonst",2001,9624,"Egg","K"
"w",181,19,90,"Psychologie","Master","nein",0,"HAK",2003,9082,"Maria Wörth","K"
"m",177,18,80,"Slawistik","Master","nein",0,"AHS",2004,9422,"Maria Rojach","K"
"w",153,21,52,"Romanistik","Master","nein",0,"Ausl",2001,9181,"Feistritz im Rosental","K"
"w",165,25,66,"Geschichte","Master","ja",15,"AHS",1997,9635,"Dellach","K"
"w",155,19,55,"Anglistik und Amerikanistik","Master","ja",28,"Ausl",2003,9701,"Rothenthurn","K"
"w",154,22,56,"Betriebswirtschaft","Master","ja",12,"Ausl",2000,9842,"Mörtschach","K"
"w",160,24,52,"Romanistik","PhD","ja",9,"AHS",1998,9861,"Eisentratten","K"
"m",181,21,62,"Geschichte","Master","nein",0,"Ausl",2001,9554,"St. Urban","K"
"w",165,19,68,"Geographie","Master","ja",17,"HAK",2003,9711,"Paternion","K"
"w",169,21,65,"Angewandte Kulturwissenschaft","Bachelor","ja",12,"Ausl",2001,9031,"Klagenfurt","K"
"m",181,19,80,"Geographie","Master","ja",13,"HAK",2003,9161,"Maria Rain","K"
"w",161,23,55,"Romanistik","Master","ja",6,"HAK",1999,9555,"Glanegg","K"
"w",143,23,42,"Wirtschaftsinformatik","Master","nein",0,"Ausl",1999,9082,"Maria Wörth","K"
"m",180,32,71,"International Business and Economics","PhD","ja",11,"AHS",1990,9473,"Lavamünd","K"
"m",191,20,95,"Geographie","Master","nein",0,"AHS",2002,9563,"Gnesau","K"
"m",174,18,60,"Angewandte Informatik","Master","ja",11,"Sonst",2004,9581,"Ledenitzen","K"
"w",151,20,53,"Psychologie","Bachelor","ja",19,"AHS",2002,9710,"Feistritz an der Drau","K"
"m",171,21,76,"Slawistik","Master","nein",0,"HAK",2001,9112,"Griffen","K"
"w",155,20,52,"Slawistik","Bachelor","nein",0,"HAK",2002,9025,"Klagenfurt am Wörthersee","K"
"m",174,20,84,"Romanistik","Bachelor","nein",0,"Ausl",2002,9613,"Feistritz an der Gail","K"
"m",179,21,64,"Robotics and Artificial Intelligence","Master","ja",29,"Sonst",2001,9183,"Rosenbach","K"
"m",181,23,120,"Informationstechnik","Bachelor","nein",0,"HAK",1999,9231,"Köstenberg","K"
"m",176,21,67,"Technische Mathematik","Master","nein",0,"Ausl",2001,9212,"Techelsberg am Wörther See","K"
"m",167,23,80,"Robotics and Artificial Intelligence","Master","ja",16,"HAK",1999,9821,"Obervellach","K"
"m",181,19,67,"Technische Mathematik","Master","nein",0,"HAK",2003,9653,"Liesing","K"
"w",173,21,61,"Anglistik und Amerikanistik","Master","ja",32,"AHS",2001,9123,"St. Primus","K"
"w",180,23,84,"Slawistik","PhD","nein",0,"Ausl",1999,9504,"Villach-Warmbad Villach","K"
"m",170,23,51,"Technische Mathematik","Master","ja",18,"HTL",1999,9841,"Winklern","K"
"m",178,20,68,"Philosophie","Bachelor","ja",22,"Ausl",2002,9150,"Bleiburg","K"
"w",172,20,74,"Informationstechnik","Master","nein",0,"Ausl",2002,9135,"Bad Eisenkappel","K"
"m",173,27,76,"Slawistik","Master","ja",12,"AHS",1995,9614,"Vorderberg","K"
"w",166,20,67,"Romanistik","Bachelor","ja",3,"Sonst",2002,9615,"Görtschach","K"
"w",164,19,71,"Geschichte","Master","nein",0,"Ausl",2003,9130,"Poggersdorf","K"
"w",161,22,57,"Robotics and Artificial Intelligence","Master","ja",14,"Ausl",2000,9771,"Berg im Drautal","K"
"w",163,21,60,"Angewandte Kulturwissenschaft","Master","nein",0,"AHS",2001,9563,"Gnesau","K"
"w",170,25,72,"Anglistik und Amerikanistik","Bachelor","ja",5,"AHS",1997,9163,"Unterbergen","K"
"w",165,19,59,"Germanistik","PhD","nein",0,"HAK",2003,9010,"Klagenfurt am Wörthersee","K"
"m",170,18,74,"Betriebswirtschaft","Master","ja",7,"Ausl",2004,9072,"Ludmannsdorf","K"
"w",144,24,48,"Germanistik","Bachelor","nein",0,"HTL",1998,9371,"Brückl","K"
"m",168,21,76,"Betriebswirtschaft","Master","nein",0,"AHS",2001,9073,"Klagenfurt-Viktring","K"
"w",162,22,58,"Angewandte Informatik","Master","ja",14,"Ausl",2000,9563,"Gnesau","K"
"w",142,20,42,"Medien- und Kommunikationswissenschaften","Master","nein",0,"HBLA",2002,9500,"Villach","K"
"w",180,22,82,"Erziehungs- und Bildungswissenschaft","PhD","ja",22,"AHS",2000,9155,"Neuhaus","K"
"m",162,22,58,"Geographie","Bachelor","nein",0,"Ausl",2000,9028,"Klagenfurt am Wörthersee","K"
"w",153,44,53,"Angewandte Informatik","Master","nein",0,"Ausl",1978,9451,"Preitenegg","K"
"w",174,19,57,"Psychologie","Master","nein",0,"Ausl",2003,9451,"Preitenegg","K"
"m",156,19,56,"Geschichte","Bachelor","ja",15,"Ausl",2003,9501,"Villach","K"
"w",168,20,58,"Angewandte Informatik","PhD","ja",27,"HAK",2002,9536,"St. Egyden","K"
"m",171,23,75,"Medien- und Kommunikationswissenschaften","PhD","nein",0,"AHS",1999,9143,"St. Michael ob Bleiburg","K"
"w",166,22,61,"Geographie","Master","ja",11,"AHS",2000,9135,"Bad Eisenkappel","K"
"m",181,22,67,"Germanistik","Master","nein",0,"Ausl",2000,9582,"Latschach","K"
"w",154,21,51,"Geographie","Bachelor","ja",10,"HBLA",2001,9655,"Maria Luggau","K"
"w",156,20,54,"International Business and Economics","PhD","nein",0,"Ausl",2002,9536,"St. Egyden","K"
"w",138,18,39,"Germanistik","Master","ja",9,"Ausl",2004,9411,"St. Michael","K"
"m",166,21,61,"Geschichte","Bachelor","ja",19,"AHS",2001,9064,"Pischeldorf","K"
"m",177,20,64,"Romanistik","Master","ja",8,"Ausl",2002,9161,"Maria Rain","K"
"w",166,21,69,"Informationstechnik","Bachelor","ja",24,"Ausl",2001,9854,"Malta","K"
"m",190,20,74,"Germanistik","Master","nein",0,"Ausl",2002,9232,"Rosegg","K"
"m",175,20,58,"Medien- und Kommunikationswissenschaften","Bachelor","ja",11,"Ausl",2002,9113,"Ruden","K"
"w",166,20,70,"Wirtschaftsinformatik","Master","ja",22,"AHS",2002,9431,"St. Stefan","K"
"m",175,22,65,"Wirtschaftsinformatik","Bachelor","ja",11,"AHS",2000,9624,"Egg","K"
"w",158,19,57,"Informationstechnik","Bachelor","nein",0,"HAK",2003,9013,"Klagenfurt am Wörthersee","K"
"w",168,21,81,"Wirtschaftsinformatik","Master","ja",11,"HAK",2001,9472,"Ettendorf","K"
"m",178,23,79,"Philosophie","Master","ja",29,"HAK",1999,9312,"Meiselding","K"
"w",163,21,60,"Medien- und Kommunikationswissenschaften","Master","nein",0,"Ausl",2001,9582,"Latschach","K"
"m",167,19,78,"Geschichte","Master","nein",0,"HAK",2003,9072,"Ludmannsdorf","K"
"w",162,19,74,"Erziehungs- und Bildungswissenschaft","Master","nein",0,"Ausl",2003,9833,"Rangersdorf","K"
"w",168,20,70,"Geographie","Bachelor","ja",14,"AHS",2002,9613,"Feistritz an der Gail","K"
"w",167,21,61,"Philosophie","Master","ja",15,"Ausl",2001,9074,"Keutschach","K"
"w",158,19,58,"Geographie","Master","nein",0,"Ausl",2003,9640,"Kötschach-Mauthen","K"
"w",157,19,56,"Angewandte Kulturwissenschaft","PhD","nein",0,"Ausl",2003,9651,"St. Jakob im Lesachtal","K"
